episode,reward,rail length
0,-225.31508458632646,7
1,-360.76032900059295,4
2,-374.26032900059295,4
3,-372.26032900059295,4
4,-380.76032900059295,4
5,-202.31508458632646,7
6,-378.26032900059295,4
7,-361.76032900059295,4
8,-401.26032900059295,4
9,-357.26032900059295,4
10,-383.26032900059295,4
11,-284.1306403446053,6
12,-320.84526422799524,5
13,-366.76032900059295,4
14,-383.26032900059295,4
15,-368.26032900059295,4
16,-380.26032900059295,4
17,-378.76032900059295,4
18,-373.76032900059295,4
19,-383.26032900059295,4
20,-119.42107717301701,9
21,-261.1306403446053,6
22,-375.76032900059295,4
23,-380.76032900059295,4
24,-378.76032900059295,4
25,-341.34526422799524,5
26,-171.04223466203337,8
27,-381.76032900059295,4
28,-365.76032900059295,4
29,-381.26032900059295,4
30,-378.76032900059295,4
31,-339.34526422799524,5
32,-230.81508458632646,7
33,-384.76032900059295,4
34,-112.42107717301701,9
35,-257.1306403446053,6
36,-372.26032900059295,4
37,-382.26032900059295,4
38,-326.34526422799524,5
39,-286.6306403446053,6
40,-334.84526422799524,5
41,-370.76032900059295,4
42,-383.26032900059295,4
43,-381.76032900059295,4
44,-119.42107717301701,9
45,-374.76032900059295,4
46,-373.76032900059295,4
47,-237.81508458632646,7
48,-378.76032900059295,4
49,-327.34526422799524,5
50,-316.34526422799524,5
51,-380.76032900059295,4
52,-383.76032900059295,4
53,-361.76032900059295,4
54,-361.26032900059295,4
55,-381.76032900059295,4
56,-371.76032900059295,4
57,-381.26032900059295,4
58,-380.26032900059295,4
59,-322.34526422799524,5
60,-370.26032900059295,4
61,-379.26032900059295,4
62,-372.26032900059295,4
63,-224.31508458632646,7
64,-385.26032900059295,4
65,-377.26032900059295,4
66,-229.31508458632646,7
67,-375.76032900059295,4
68,-376.26032900059295,4
69,-380.26032900059295,4
70,-356.26032900059295,4
71,-332.84526422799524,5
72,-326.34526422799524,5
73,-370.26032900059295,4
74,-379.76032900059295,4
75,-372.26032900059295,4
76,-365.76032900059295,4
77,-370.26032900059295,4
78,-307.84526422799524,5
79,-326.84526422799524,5
80,-375.26032900059295,4
81,-374.76032900059295,4
82,-360.26032900059295,4
83,-323.34526422799524,5
84,-363.76032900059295,4
85,-381.76032900059295,4
86,-272.1306403446053,6
87,-370.76032900059295,4
88,-377.76032900059295,4
89,-377.26032900059295,4
90,-326.34526422799524,5
91,-313.34526422799524,5
92,-364.76032900059295,4
93,-374.26032900059295,4
94,-376.26032900059295,4
95,-425.0815238949143,3
96,-373.26032900059295,4
97,-366.76032900059295,4
98,-326.84526422799524,5
99,-353.76032900059295,4
100,-366.76032900059295,4
101,-387.26032900059295,4
102,-377.26032900059295,4
103,-379.76032900059295,4
104,-369.76032900059295,4
105,-372.26032900059295,4
106,-365.76032900059295,4
107,-212.31508458632646,7
108,-370.76032900059295,4
109,-359.26032900059295,4
110,-363.26032900059295,4
111,-98.42107717301701,9
112,-362.76032900059295,4
113,-369.76032900059295,4
114,-370.26032900059295,4
115,-369.76032900059295,4
116,-319.84526422799524,5
117,-313.34526422799524,5
118,-361.26032900059295,4
119,-364.26032900059295,4
120,-367.26032900059295,4
121,-360.26032900059295,4
122,-373.26032900059295,4
123,-378.76032900059295,4
124,9.039888365577553,11
125,-371.26032900059295,4
126,-335.34526422799524,5
127,-228.81508458632646,7
128,-363.76032900059295,4
129,-426.0815238949143,3
130,-371.26032900059295,4
131,-370.76032900059295,4
132,-373.76032900059295,4
133,-313.34526422799524,5
134,-382.26032900059295,4
135,-380.76032900059295,4
136,-377.26032900059295,4
137,-371.26032900059295,4
138,-377.76032900059295,4
139,-279.1306403446053,6
140,-370.76032900059295,4
141,-227.31508458632646,7
142,-380.26032900059295,4
143,-373.26032900059295,4
144,-179.54223466203337,8
145,-235.81508458632646,7
146,-386.76032900059295,4
147,-374.26032900059295,4
148,-365.26032900059295,4
149,-372.76032900059295,4
150,-336.34526422799524,5
151,-372.76032900059295,4
152,-379.76032900059295,4
153,-365.76032900059295,4
