episode,reward,rail length,game win
0,-1907.8260955796572,3,False
1,-1392.881056911981,5,False
2,2233.65955346231,11,False
3,1642.3310613518665,8,False
4,-743.5413160023719,4,False
5,-783.5413160023719,4,False
6,-903.5413160023719,4,False
7,-808.5413160023719,4,False
8,-983.5413160023718,4,False
9,-698.5413160023719,4,False
10,-848.5413160023718,4,False
11,-252.88105691198098,5,False
12,-657.881056911981,5,False
13,57.11894308801902,5,False
14,-838.5413160023719,4,False
15,-2203.541316002372,4,False
16,-773.5413160023719,4,False
17,-678.5413160023719,4,False
18,-713.5413160023719,4,False
19,-1188.5413160023718,4,False
20,-912.881056911981,5,False
21,-67.88105691198098,5,False
22,-653.5413160023719,4,False
23,-858.5413160023718,4,False
24,-1233.5413160023718,4,False
25,-1747.881056911981,5,False
26,-718.5413160023719,4,False
27,-643.5413160023719,4,False
28,-1183.5413160023718,4,False
29,-1092.881056911981,5,False
30,-763.5413160023719,4,False
31,-853.5413160023718,4,False
32,-918.5413160023718,4,False
33,864.815691307932,9,False
34,1112.3310613518665,8,False
35,-2042.8260955796572,3,False
36,1179.815691307932,9,False
37,-1517.881056911981,5,False
38,-92.88105691198098,5,False
39,-2998.7906149854825,2,False
40,-428.5413160023719,4,False
41,-2298.541316002372,4,False
42,-1508.5413160023718,4,False
43,-693.5413160023719,4,False
44,2085.350823588335,10,False
45,-3667.8260955796577,3,False
46,-663.5413160023719,4,False
47,-578.5413160023719,4,False
48,-898.5413160023718,4,False
49,-817.881056911981,5,False
50,-672.0225613784212,6,False
51,393.23966165469415,7,False
52,298.23966165469415,7,False
53,-798.5413160023719,4,False
54,477.9774386215788,6,False
55,4797.7197740301635,13,False
56,272.9774386215788,6,False
57,947.9774386215787,6,False
58,-673.5413160023719,4,False
59,-733.5413160023719,4,False
60,-773.5413160023718,4,False
61,-7.881056911980977,5,False
62,107.11894308801902,5,False
63,-683.5413160023719,4,False
64,372.9774386215788,6,False
65,-1962.8260955796572,3,False
66,477.33106135186654,8,False
67,662.3310613518663,8,False
68,-287.881056911981,5,False
69,-27.022561378421187,6,False
70,-1937.8260955796572,3,False
71,-718.5413160023719,4,False
72,-2503.541316002372,4,False
73,1442.3310613518665,8,False
74,-1643.5413160023718,4,False
75,-648.5413160023719,4,False
76,-1603.5413160023718,4,False
77,-773.5413160023719,4,False
78,-252.0225613784212,6,False
79,-3183.541316002372,4,False
80,1847.3310613518665,8,False
81,-673.5413160023719,4,False
82,-1173.5413160023718,4,False
83,-1133.5413160023718,4,False
84,-462.881056911981,5,False
85,1208.239661654694,7,False
86,-332.0225613784212,6,False
87,-2252.8260955796572,3,False
88,-1052.0225613784212,6,False
89,-1513.5413160023718,4,False
90,1522.3310613518665,8,False
91,-455.18430869206804,9,False
92,-663.5413160023719,4,False
93,-683.5413160023719,4,False
94,-2182.8260955796572,3,False
95,757.9774386215788,6,False
96,127.11894308801902,5,False
97,-683.5413160023719,4,False
98,-633.5413160023719,4,False
99,37.11894308801902,5,False
100,3374.5132495683574,12,False
101,-673.5413160023719,4,False
102,547.9774386215788,6,False
103,-1847.8260955796572,3,False
104,-277.881056911981,5,False
105,-738.5413160023719,4,False
106,-152.0225613784212,6,False
107,-1872.8260955796572,3,False
108,927.3310613518665,8,False
109,1387.3310613518665,8,False
110,-613.5413160023719,4,False
111,-508.5413160023719,4,False
112,-1658.5413160023718,4,False
113,307.9774386215788,6,False
114,-1133.5413160023718,4,False
115,-122.02256137842119,6,False
116,-977.0225613784212,6,False
117,-327.881056911981,5,False
118,-638.5413160023719,4,False
119,-563.5413160023719,4,False
120,-788.5413160023719,4,False
121,-3023.7906149854825,2,False
122,-543.5413160023719,4,False
123,-1922.8260955796572,3,False
124,1372.3310613518665,8,False
125,337.9774386215788,6,False
126,698.2396616546941,7,False
127,-448.5413160023719,4,False
128,-768.5413160023719,4,False
129,-643.5413160023719,4,False
130,-463.5413160023719,4,False
131,-623.5413160023719,4,False
132,-1752.8260955796572,3,False
133,777.9774386215787,6,False
134,1242.3310613518665,8,False
135,-872.881056911981,5,False
136,1137.3310613518665,8,False
137,1022.9774386215787,6,False
138,-728.5413160023719,4,False
139,1112.3310613518665,8,False
140,-708.5413160023718,4,False
141,-618.5413160023719,4,False
142,-458.5413160023719,4,False
143,-593.5413160023719,4,False
144,1317.3310613518665,8,False
145,-1847.8260955796572,3,False
146,1013.2396616546941,7,False
147,-738.5413160023719,4,False
148,-448.5413160023719,4,False
149,212.9774386215788,6,False
150,737.9774386215788,6,False
151,-588.5413160023719,4,False
152,-728.5413160023719,4,False
153,-1952.8260955796572,3,False
154,1727.3310613518665,8,False
155,302.9774386215788,6,False
156,777.9774386215788,6,False
157,-1228.5413160023718,4,False
158,263.23966165469415,7,False
159,297.118943088019,5,False
160,467.9774386215788,6,False
161,-743.5413160023719,4,False
162,3208.65955346231,11,False
163,32.11894308801902,5,False
164,-728.5413160023719,4,False
165,2544.815691307932,9,False
166,-488.5413160023719,4,False
167,-633.5413160023719,4,False
168,97.11894308801902,5,False
169,52.11894308801902,5,False
170,892.9774386215787,6,False
171,-202.88105691198098,5,False
172,-582.881056911981,5,False
173,2395.350823588335,10,False
174,667.9774386215788,6,False
175,942.9774386215787,6,False
176,2019.815691307932,9,False
177,-1902.8260955796572,3,False
178,-608.5413160023719,4,False
179,697.9774386215788,6,False
180,-713.5413160023719,4,False
181,697.9774386215788,6,False
182,3770.3508235883346,10,False
183,-713.5413160023719,4,False
184,3789.5132495683574,12,False
185,1168.2396616546941,7,False
186,-2098.541316002372,4,False
187,-648.5413160023719,4,False
188,-528.5413160023719,4,False
189,-212.88105691198098,5,False
190,-147.88105691198098,5,False
191,-623.5413160023719,4,False
192,1177.9774386215786,6,False
193,-623.5413160023719,4,False
194,-1618.5413160023718,4,False
195,1158.2396616546941,7,False
196,-723.5413160023719,4,False
197,-498.5413160023719,4,False
198,2374.815691307932,9,False
199,442.9774386215788,6,False
200,352.9774386215788,6,False
201,-557.881056911981,5,False
202,1227.9774386215788,6,False
203,498.23966165469415,7,False
204,252.11894308801902,5,False
205,-673.5413160023719,4,False
206,-473.5413160023719,4,False
207,-658.5413160023719,4,False
208,-613.5413160023719,4,False
